image_path,emotion
/Users/tscasso/Beboo/prototype/data/train/happy/im4403.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im2072.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im6214.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im771.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im6572.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im2714.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im4365.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im2700.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im4371.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im765.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im6566.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im1209.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im6200.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im3378.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im4417.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im5709.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im2066.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im1547.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im6228.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im7136.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im3350.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im5721.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im2728.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im5047.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im4359.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im3436.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im995.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im1221.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im759.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im1235.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im981.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im5053.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im3422.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im3344.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im5735.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im1553.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im7122.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im5906.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im5912.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im3393.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im1584.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im956.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im2933.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im5084.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im2927.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im5090.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im6599.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im942.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im1590.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im2099.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im3387.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im3608.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im4167.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im5279.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im2516.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im6770.png,happy
/Users/tscasso/Beboo/prototype/data/train/happy/im573.png,happy
